symptoms_text,specialty
بحس إن قلبي بيخبط كأنه هيطلع من مكانه,قلب
نفسي بيتحبس فجأة ومش عارف ليه,قلب
كل لما أطلع سلم بحس إني هقع,قلب
وشي بيصفر لما دقات قلبي تزيد,قلب
بحس بخنقة في صدري من غير مجهود,قلب
قلبي بيجري كأني بجري سباق,قلب
بحس بحرارة في صدري لما دقات قلبي تعلى,قلب
في نبض واضح في رقبتي بيخوفني,قلب
لما أنام على ضهري بحس قلبي هيقف,قلب
دراعي الشمال بينمل وقت الألم,قلب
بحس كأن قلبي بيتنطط جوايا,قلب
كل لما أتوتر قلبي يسرع قوي,قلب
بسمع صوت قلبي في وداني,قلب
نفسي قصير حتى وأنا قاعد,قلب
كل لما أضحك جامد بحس بنغزة في قلبي,قلب
بحس إن قلبي بيتخبط في معدتي,قلب
بحس وجع تحت الترقوة,قلب
لما أمسك صدري بحس حرارة,قلب
كل لما أكل دهون قلبي بيولع,قلب
لما أكون في زحمة بحس قلبي هيقف,قلب
بحس بدوخة لما دقات قلبي تزيد,قلب
بحس قلبي بيفقد توازنه فجأة,قلب
وشي بيحمر لما قلبي يضرب جامد,قلب
بحس بدقة قوية لما أتنهد جامد,قلب
كل لما أتحرك بسرعة قلبي يوجعني,قلب
بحس إن قلبي بيتزنق لما أنام على جنب,قلب
بحس إن قلبي بيلف جوا صدري,قلب
بحس كأن قلبي مربوط بحاجة بتشدني,قلب
بحس بحرارة لما أبذل مجهود بسيط,قلب
دقات قلبي ساعات تبقى متقطعة,قلب
كل لما أتوتر بطني بتنفض مع قلبي,قلب
لما أركب أسانسير قلبي يتلخبط,قلب
بحس وجع بيمشي للكتف الشمال,قلب
كل لما أجري قلبي بيجري أكتر,قلب
بحس إني مش قادر آخد نفس عميق,قلب
بحس برعشة في جسمي لما قلبي يضرب جامد,قلب
وشي بيصفر لما الوجع يجي,قلب
بحس بنغزة في صدري مع أي حركة,قلب
نفسي بيقطع وأنا نايم,قلب
بحس إن قلبي بيقف لحظة ويرجع تاني,قلب
